Symbol,Dzieñ,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2644.N,D,19991102,89.63,89.63,89.63,89.63,0,0
2644.N,D,19991103,89.76,89.76,89.76,89.76,0,0
2644.N,D,19991104,89.08,89.08,89.08,89.08,0,0
2644.N,D,19991105,86.39,86.39,86.39,86.39,0,0
2644.N,D,19991108,86.29,86.29,86.29,86.29,0,0
2644.N,D,19991109,86.38,86.38,86.38,86.38,0,0
2644.N,D,19991110,86.47,86.47,86.47,86.47,0,0
2644.N,D,19991112,86.47,86.47,86.47,86.47,0,0
2644.N,D,19991115,87.11,87.11,87.11,87.11,0,0
2644.N,D,19991116,87.32,87.32,87.32,87.32,0,0
2644.N,D,19991117,88.27,88.27,88.27,88.27,0,0
2644.N,D,19991118,89.23,89.23,89.23,89.23,0,0
2644.N,D,19991119,92.64,92.64,92.64,92.64,0,0
2644.N,D,19991122,94.61,94.61,94.61,94.61,0,0
2644.N,D,19991123,93.71,93.71,93.71,93.71,0,0
2644.N,D,19991124,93.98,93.98,93.98,93.98,0,0
2644.N,D,19991125,95.67,95.67,95.67,95.67,0,0
2644.N,D,19991126,96.27,96.27,96.27,96.27,0,0
2644.N,D,19991129,94.15,94.15,94.15,94.15,0,0
2644.N,D,19991130,94.8,94.8,94.8,94.8,0,0
2644.N,D,19991201,96.91,96.91,96.91,96.91,0,0
2644.N,D,19991202,97,97,97,97,0,0
